age_group,date,onsets,reported
15-59,2020-11-02,5225.0,4111.0
15-59,2020-11-03,5042.0,6499.0
15-59,2020-11-04,4749.0,6051.0
15-59,2020-11-05,5104.0,6064.0
15-59,2020-11-06,5179.0,5570.0
15-59,2020-11-07,4801.0,2540.0
15-59,2020-11-08,4548.0,1794.0
15-59,2020-11-09,6168.0,7108.0
15-59,2020-11-10,6376.0,7126.0
15-59,2020-11-11,4915.0,6663.0
15-59,2020-11-12,4556.0,6440.0
15-59,2020-11-13,4564.0,5891.0
15-59,2020-11-14,4454.0,2831.0
15-59,2020-11-15,5554.0,1801.0
15-59,2020-11-16,5485.0,2295.0
15-59,2020-11-17,5692.0,7804.0
15-59,2020-11-18,5625.0,7011.0
15-59,2020-11-19,5398.0,6561.0
15-59,2020-11-20,8278.0,6510.0
15-59,2020-11-21,5257.0,2941.0
15-59,2020-11-22,5412.0,1798.0
15-59,2020-11-23,6896.0,8129.0
15-59,2020-11-24,5912.0,8073.0
15-59,2020-11-25,6347.0,7362.0
15-59,2020-11-26,5684.0,7426.0
15-59,2020-11-27,6156.0,7248.0
15-59,2020-11-28,6277.0,3363.0
15-59,2020-11-29,5894.0,2020.0
15-59,2020-11-30,8501.0,8357.0
15-59,2020-12-01,9060.0,8873.0
15-59,2020-12-02,6776.0,8552.0
15-59,2020-12-03,6688.0,8243.0
15-59,2020-12-04,7078.0,8000.0
15-59,2020-12-05,7698.0,3960.0
15-59,2020-12-06,6455.0,1969.0
15-59,2020-12-07,9131.0,9867.0
15-59,2020-12-08,7772.0,9790.0
15-59,2020-12-09,7753.0,9230.0
15-59,2020-12-10,9077.0,9391.0
15-59,2020-12-11,7995.0,9167.0
15-59,2020-12-12,8047.0,4734.0
15-59,2020-12-13,7155.0,2241.0
15-59,2020-12-14,9400.0,10915.0
15-59,2020-12-15,8772.0,10779.0
15-59,2020-12-16,7262.0,10004.0
15-59,2020-12-17,7007.0,9488.0
15-59,2020-12-18,8217.0,9101.0
15-59,2020-12-19,7017.0,4530.0
15-59,2020-12-20,8012.0,2430.0
15-59,2020-12-21,7533.0,11088.0
15-59,2020-12-22,6820.0,10471.0
15-59,2020-12-23,6490.0,9582.0
15-59,2020-12-24,7621.0,7503.0
15-59,2020-12-25,7582.0,1610.0
15-59,2020-12-26,7957.0,4055.0
15-59,2020-12-27,7882.0,2844.0
15-59,2020-12-28,10282.0,12287.0
15-59,2020-12-29,7245.0,11897.0
15-59,2020-12-30,7634.0,10695.0
15-59,2020-12-31,9196.0,8623.0
60-79,2020-02-19,0.0,0.0
60-79,2020-02-22,0.0,0.0
60-79,2020-02-23,0.0,0.0
60-79,2020-02-25,0.0,0.0
60-79,2020-02-26,0.0,0.0
60-79,2020-02-27,0.0,0.0
60-79,2020-02-28,0.0,0.0
60-79,2020-02-29,0.0,0.0
60-79,2020-03-01,2.0,0.0
60-79,2020-03-02,2.0,1.0
60-79,2020-03-03,3.0,0.0
60-79,2020-03-04,2.0,0.0
60-79,2020-03-05,0.0,0.0
60-79,2020-03-06,1.0,0.0
60-79,2020-03-07,2.0,0.0
60-79,2020-03-08,6.0,2.0
60-79,2020-03-09,14.0,0.0
60-79,2020-03-10,7.0,3.0
60-79,2020-03-11,4.0,5.0
60-79,2020-03-12,8.0,8.0
60-79,2020-03-13,16.0,6.0
60-79,2020-03-14,12.0,4.0
60-79,2020-03-15,18.0,3.0
60-79,2020-03-16,17.0,6.0
60-79,2020-03-17,15.0,11.0
60-79,2020-03-18,23.0,14.0
60-79,2020-03-19,25.0,14.0
60-79,2020-03-20,42.0,14.0
60-79,2020-03-21,30.0,15.0
60-79,2020-03-22,33.0,13.0
60-79,2020-03-23,47.0,28.0
60-79,2020-03-24,25.0,34.0
60-79,2020-03-25,45.0,17.0
60-79,2020-03-26,41.0,41.0
60-79,2020-03-27,47.0,48.0
60-79,2020-03-28,54.0,35.0
60-79,2020-03-29,46.0,19.0
60-79,2020-03-30,74.0,52.0
60-79,2020-03-31,56.0,50.0
60-79,2020-04-01,98.0,62.0
60-79,2020-04-02,88.0,58.0
60-79,2020-04-03,88.0,59.0
60-79,2020-04-04,68.0,53.0
60-79,2020-04-05,74.0,53.0
60-79,2020-04-06,104.0,110.0
60-79,2020-04-07,102.0,91.0
60-79,2020-04-08,119.0,92.0
60-79,2020-04-09,123.0,82.0
60-79,2020-04-10,195.0,108.0
60-79,2020-04-11,121.0,73.0
60-79,2020-04-12,175.0,96.0
60-79,2020-04-13,185.0,149.0
60-79,2020-04-14,190.0,141.0
60-79,2020-04-15,223.0,164.0
60-79,2020-04-16,182.0,166.0
60-79,2020-04-17,212.0,193.0
60-79,2020-04-18,254.0,186.0
60-79,2020-04-19,231.0,169.0
60-79,2020-04-20,381.0,230.0
60-79,2020-04-21,200.0,214.0
60-79,2020-04-22,239.0,228.0
60-79,2020-04-23,257.0,266.0
60-79,2020-04-24,292.0,247.0
60-79,2020-04-25,336.0,229.0
60-79,2020-04-26,280.0,255.0
60-79,2020-04-27,360.0,311.0
60-79,2020-04-28,295.0,293.0
60-79,2020-04-29,288.0,357.0
60-79,2020-04-30,370.0,338.0
60-79,2020-05-01,534.0,307.0
60-79,2020-05-02,350.0,304.0
60-79,2020-05-03,353.0,265.0
60-79,2020-05-04,409.0,375.0
60-79,2020-05-05,469.0,366.0
60-79,2020-05-06,394.0,388.0
60-79,2020-05-07,431.0,410.0
60-79,2020-05-08,513.0,428.0
60-79,2020-05-09,449.0,317.0
60-79,2020-05-10,718.0,363.0
